"";"url";"date";"title";"body"
"1";"https://www.theguardian.com/world/2020/sep/28/alexei-navalny-angela-merkel-visit-berlin-hospital";NA;NA;"NA
"
"2";"https://www.theguardian.com/world/commentisfree/2020/sep/28/reunification-germany-30-years-eu-transatlantic-western-alliance";NA;NA;"NA
"
"3";"https://www.theguardian.com/environment/2020/sep/28/world-leaders-pledge-to-halt-earth-destruction-un-summit";NA;NA;"NA
"
"4";"https://www.theguardian.com/world/2020/sep/16/ursula-von-der-leyen-says-polands-lgbt-free-zones-have-no-place-in-eu";2020-09-16;"Ursula von der Leyen says Poland's 'LGBT-free zones' have no place in EU";"In her first ‘state of union’ speech, European commission president delivers criticism of Polish ruling party
The head of the European commission, Ursula von der Leyen, has said Poland’s “LGBT free zones” are “humanity-free zones” that have no place in the European Union in her strongest criticism yet of Poland’s ruling Law and Justice party.
In a wide-ranging 77-minute speech spanning from coronavirus to the climate emergency, Von der Leyen pledged to build “a union of equality” and criticised European member states that watered down EU foreign policy messages on human rights.
She made plain her disapproval of Poland’s rightwing nationalist government, which has often hit out at “LGBT ideology”, while a number of Polish towns declared themselves “LGBT-ideology free zones”.
“Being yourself is not your ideology,” Von der Leyen told applauding MEPs in the European parliament in Brussels. “It’s your identity,” she said. “So I want to be crystal clear – LGBTQI-free zones are humanity free zones. And they have no place in our union.”
The EU is locked in a long-running dispute with Poland over the rule of law, since the ruling Law and Justice party embarked on policies that weaken independent courts. With no end in sight, that fight is set to intensify, as Von der Leyen signalled she would not back down on linking EU funds to financial probity, following questions over the use of European money in Hungary and the Czech Republic. She said protecting the EU budget “against any kind of fraud, corruption and conflict of interest” was “non-negotiable”.
The commission president lamented that EU foreign policy could be “delayed, watered down or held hostage for other motives”, as she called for an end to national vetoes.
Brussels has long called for an end to national vetoes on foreign policy, but Von der Leyen – who has pledged to lead a “geopolitical commission” – made the point by criticising EU governments for blocking stronger positions.
The EU, Von der Leyen said, needed to call out human rights abuses, whether in Hong Kong or over the fate of the Uighurs. “But what holds us back? Why are even simple statements on EU values delayed, watered down or held hostage for other motives? When member states say Europe is too slow, I say to them be courageous and finally move to qualified majority voting – at least on human rights and sanctions implementation.”
She promised her officials would draft a “Magnitsky act”, a targeted sanctions regime to punish human-rights offenders. Similar legislation already exists in the US and was recently introduced in the UK. The acts take their name from the Russian lawyer Sergei Magnitsky, who died in a Moscow jail aged 37, after uncovering a massive tax fraud by state officials.
The commission president, a close ally of the German chancellor, Angela Merkel, criticised the Russian government by describing the poisoning of the opposition activist Alexei Navalny as “not a one-off” and part of a pattern of behaviour. “This pattern is not changing – and no pipeline will change that,” she added in a cryptic reference to the German-Russian Nord Stream II pipeline from which Merkel’s government is under pressure to withdraw its support.
Von der Leyen was delivering her first “state of the union” speech, since beginning a five-year term last December. The annual speech to the European parliament, an idea consciously modelled on its US namesake, is intended to set out EU legislative priorities.
In the speech that cited Andrei Sakharov, Margaret Thatcher and John Hume, she struck an upbeat tone about EU unity, after a shaky start when EU member states closed borders and slapped export bans on medical supplies.
Having chided EU governments in the past for failing to support Italy in its hour of need, Von der Leyen struck a more optimistic note, saying member states had overcome their differences; including by agreeing a €750bn (£688bn) recovery plan.
“We turned fear and division between member states into confidence in our union,” she claimed. She said the EU needed more powers to tackle future pandemics and vowed to create an agency for biomedical advanced research and development, an equivalent to the US agency funding vaccine research, Barda.
Without naming Donald Trump, she made a few swipes at the US president, criticising “vaccine nationalism” and major powers, who are “pulling out of institutions or taking them hostage for their own interests”. But the EU could be on a collision course with a new Democratic incumbent of the White House, as Von der Leyen promised to revive plans for an EU digital tax in the absence of an international agreement. Barack Obama’s administration complained that Brussels was unfairly singling out US tech giants.
As widely trailed, Von der Leyen proposed the EU should cut greenhouse gas emissions by “at least 55%” by 2030 compared with 1990 levels. Green campaigners have welcomed the increase in ambition (upping the current 40% reduction target) but fear “an accounting trick” in how the new target will be calculated.
Preoccupied by coronavirus and foreign policy crises, EU leaders have given little attention to Brexit in recent months. Von der Leyen said the chances of an agreement were fading with every day that passed, as she warned the UK government not to renege on the Brexit withdrawal agreement Boris Johnson signed last year. Noting that the Brexit deal had been ratified by MEPs and MPs, Von der Leyen said it could not be “unilaterally changed, disregarded, disapplied. This is a matter of law and trust and good faith.”
Von der Leyen, who is the first female president in the commission’s 63-year history, said the EU had to do more to confront racism in the wake of the Black Lives Matter protests. In a move that could trigger conflict with sovereignty-conscious member states, she proposed extending the list of EU crimes to cover all forms of hate crime and hate speech, whether linked to race, religion, gender or sexuality.
She promised to appoint the European commission’s first-ever anti-racism coordinator “to keep the issue “at the top of our agenda”."
"5";"https://www.theguardian.com/world/2020/sep/13/party-disputes-thwart-angela-merkels-hopes-of-an-orderly-succession";2020-09-13;"Party disputes thwart Angela Merkel’s hopes of an orderly succession";"The German chancellor is standing down next year, but the handover is not going to plan for the three main rivals
On the rocky road towards Germany’s post-Merkel future, one thing used to seem certain: the shoes of the first female, Protestant East German scientist at the top of German politics would be filled by a male Catholic Rhinelander with a law degree.
That description still fits all the three official candidates who at a party congress in early December will pitch to lead Angela Merkel’s Christian Democratic Union, the indispensable behemoth of postwar politics in Europe’s largest economy.
But the pandemic has realigned the stars for some of its top politicians to the extent that CDU insiders worry the leadership race’s most likely outcome no longer looks ideal, and the ideal outcome for the greater good of the party looks unlikely.
The impressive lead the conservatives have built up through their handling of the Covid-19 threat, they fear, could melt away as a squabbling party emerges from the shadow of the chancellor that has unified them for the last 15 years.
Merkel, who will not be running for a fifth term at federal elections in 2021, has already had to tear up her succession plan once: her designated continuity candidate, Annegret Kramp-Karrenbauer, who took charge of the CDU in December 2018, announced her resignation a year later, her authority diminished by a series of internal power struggles.
Before the onset of Covid-19, a new chair was due to be crowned at a party congress in late April. Armin Laschet, the moderate state premier of North-Rhine-Westphalia, looked like the top contender after winning over the ambitious young health minister, Jens Spahn, as his number two.
Laschet, a loyal defender of Merkel’s refugee policy in 2015, also has the advantage that his home turf is Germany’s most populous state, providing almost 30% of the 1,001 delegates who get to cast their vote on the future leadership. But the 59-year-old with Wallonian roots has floundered during the pandemic, in which he emerged as one of the most prominent voices of relaxing social distancing restrictions – only to then have to coordinate Germany’s first “second lockdown” following a Covid-19 outbreak at an abattoir in Gütersloh. In the eyes of many voters, “pushy Laschet” looked more concerned with local business lobbyists than the welfare of the country as a whole.
“It’s hard to imagine Laschet staring down Putin, Xi or Trump,” said one previously sympathetic CDU delegate.
As Laschet’s popularity ratings nosedived, another conservative politician rose to unseen heights: polls showed the Bavarian premier Markus Söder, who had introduced a lockdown in Germany’s southernmost state before it came into place in the rest of the country, to be the most popular politician in the country.
“In a world that is increasingly marked by insecurities – through migration movements, climate change or global pandemics – we are seeing a high preparedness to trade some basic rights in exchange for stability,” says Wolfgang Merkel (no relation), a political scientist at Berlin’s Humboldt University.
A recent study authored by Merkel shows populist attitudes in Germany to be in steep decline after rising during the refugee crisis – a trend, he says, which was accelerated by strong statesmanship by established parties at the height of the pandemic.
“For governments, there is a new premium on leaders who can demonstrate strength and act decisively, albeit without the populist rhetoric. For the CDU, that means polls will be crucial for choosing its chancellor candidate, and for now they point towards Söder rather than Laschet.”
As the leader of the CDU’s sister party, the Bavarian Christian Social Union (CSU), Söder won’t be in the running when delegates gather for a socially distanced one-day congress in Stuttgart this winter, most likely on 4 December.
But he could become the two parties’ candidate for the chancellory – an option that has been tried before, with an unhappy ending for the conservatives. Both in 1980 and 2002 the CDU/CSU lost an election as a result, and many still believe that Bavarian politicians with their broad accents and overtly Catholic brand of conservatism simply cannot win enough votes north of the river Main.
Söder’s growing band of vocal admirers point out that their man is in fact from Franconia, and a Protestant at that. “He’s the least Bavarian leader the CSU has ever had,” says one fan.
For the 6ft 4in southerner to run, however, he would need the support of the head of the CDU in Berlin: something that Laschet would be as unlikely to offer as Friedrich Merz, the veteran hardliner and Merkel critic who is seen as the number two in the three-horse race for the leadership.
Some Christian Democrat MPs envision a “dream ticket” of Söder and Spahn, whose star has also shone brightly during the pandemic. But for the openly gay 40-year-old to run for the leadership would require reneging on his deal with Laschet. “In politics everyone loves betrayal, but no one loves a traitor,” said an official at the CDU headquarters when asked about such an option.
There’s an outside chance that the fiendishly complicated reshuffle at the top of Germany’s biggest party could benefit the outside candidate: Norbert Röttgen, the third Catholic lawyer from Rhineland-Westphalia on the ballot.
After leading the CDU to a crushing defeat in his home state in 2012 and losing his job in Merkel’s second cabinet as a result, the former environment minister has slowly crept back into the limelight through his role as chair of the Bundestag’s foreign affairs committee.
As the Alexei Navalny/novichok affair has forced Germany to reconsider its approach to Russia, Röttgen’s outspoken views have impressed conservatives who are frustrated with Laschet and Söder’s soft-pedalling. But the suave, sometimes over-confident 55-year-old’s biggest asset could be his openness to ceding the chancellor candidacy to Söder. If Röttgen made it to the second round, he might end up with the votes of the embittered supporters of one of the two frontrunners almost by accident.
Merkel’s line of succession, which has been planned, postponed and redrawn continuously over the last decade, could in the end be a matter of chance."
"6";"https://www.theguardian.com/books/2020/sep/07/why-the-germans-do-it-better-by-john-kampfner-review-in-praise-of-the-powerhouse";NA;NA;"NA
"
"7";"https://www.theguardian.com/commentisfree/2020/sep/06/the-observer-view-on-russias-poisoning-of-alexei-navalny";NA;NA;"NA
"
"8";"https://www.theguardian.com/world/2020/sep/05/navalny-poisoning-forces-merkels-party-to-ask-how-do-we-hit-back-at-putin";NA;NA;"NA
"
"9";"https://www.theguardian.com/commentisfree/2020/sep/03/the-guardian-view-on-putin-and-navalnys-poisoning-actions-speak-louder-than-words";NA;NA;"NA
"
"10";"https://www.theguardian.com/world/2020/sep/03/merkel-pressured-to-end-nord-stream-2-support-after-navalny-poisoning";2020-09-03;"Merkel pressured to end Nord Stream 2 support after Navalny poisoning";"German opposition calls on chancellor to use gas pipeline project to warn Kremlin
Angela Merkel is under growing domestic pressure to end her support for the joint German-Russian Nord Stream 2 pipeline project over the confirmed poisoning of the Russian opposition leader Alexei Navalny.
The German Green party called on the chancellor to use the nearly completed infrastructure project to press the Kremlin into answering allegations over what Merkel called the “silencing” of Navalny with a novichok nerve agent.
“This openly attempted murder through the Kremlin’s mafia-like structures should not just worry us but needs to have real consequences,” said Katrin Göring-Eckardt, the co-chair of the Greens in the Bundestag.
“Nord Stream 2 is no longer something we can jointly pursue with Russia,” said the politician for the ecological party, currently second in polls to Merkel’s CDU and a likely contender for the next coalition government.
Russia insisted there was no reason for the west to accuse it over Navalny and said any response from Germany or other countries would be premature. The Kremlin claimed hospital tests carried out on Navalny inside Russia before he was flown to Berlin found nothing suspicious.
“There are no grounds to accuse the Russian state. And we are not inclined to accept any accusations in this respect,” Vladimir Putin’s press spokesman, Dmitry Peskov, said.
Instead, senior Russian figures offered their own counter-explanations for Navalny’s illness. Sergei Naryshkin, the head of Moscow’s foreign intelligence service, said western intelligence agencies were to blame. Andrei Lugovoi – who was charged by the UK with poisoning Alexander Litvinenko in 2006 with radioactive tea– accused Berlin. The Germans had contaminated Navalny with novichok, he said.
The EU’s foreign policy chief Josep Borrell called on Moscow to cooperate with an international probe into the poisoning and said the 27-nation bloc would not rule out sanctions. Brussels “reserves the right to take appropriate actions, including through restrictive measures”, Borrell said in a statement.
Calls to permanently halt the construction of the two 764-mile (1,230km) pipelines beneath the Baltic Sea, from the Narva Bay in Russia to the German town of Lubmin, were echoed within the German chancellor’s own party.
Norbert Röttgen, the chairman of the Bundestag’s committee on foreign affairs and a candidate for the CDU leadership, told German media on Wednesday that completing the joint project would amount to encouraging Putin’s “inhuman and contemptuous politics”.
“After the poisoning of Navalny we need a strong European answer, which Putin understands,” Röttgen said. “The EU should jointly decide to stop Nord Stream 2.”
The tabloid newspaper Bild also called for a change of mind from the chancellor, who as recently as Tuesday reiterated her government’s intention to complete the multibillion-euro infrastructure project.
“The government can condemn the poisoning of Putin critic Navalny ‘in the strongest terms possible’,” said a Bild editorial on Thursday. “It can show its ‘dismay’. It can ‘urgently’ call on the Kremlin to explain itself. But as long as it acts in collusion with Putin on the Nord Stream 2 pipeline, all these declarations are just empty words”.
Not just the US, but also states in eastern Europe and the Baltics have repeatedly expressed concerns about the pipeline since the former German chancellor Gerhard Schröder approved its construction in 2005, saying it will increase Putin’s geopolitical influence.
The Nord Stream 2 twin pipeline is nearly finished, with only about 160 out of a planned 1,220km (760 miles) remaining.
However, the construction of the gas project has been on halt since late December last year, when the Swiss pipeline manufacturer Allseas ceased its work after threats of targeted US sanctions.
The German utility firm Uniper, one of Gazprom’s five financial partners in the project, last month conceded there was an increasing possibility the pipeline would never be completed.
Though set into motion by Merkel’s centre-left predecessor shortly before the start of her tenure, the construction project is of vital economic importance for the country because Germany is likely to need more imported gas in the future – and particularly for the chancellor’s own constituency in the north-eastern state of Mecklenburg-Vorpommern.
The German broadsheet Süddeutsche Zeitung commented on Thursday that Merkel’s strong condemnation of Navalny’s poisoning would make it harder to square the circle of her support for the joint project.
“The government waved goodbye to a fiction on Wednesday,” the newspaper’s correspondent Daniel Brössler commented. “A fiction that made it possible to slap Russia with sanctions one day and court it as a business partner the next.”
The Organisation for the Prohibition of Chemical Weapons (OPCW) said Navalny’s poisoning was a matter of grave concern. It said the use of chemical weapons by anyone under any circumstances was reprehensible and “wholly contrary to the legal norms established by the international community”.
In April 2018 undercover officers from Russia’s GRU military spy agency tried to hack the OPCW, which is based in The Hague. They were arrested in a car park opposite the building. The mission took place shortly after the novichok poisoning of Sergei and Yulia Skripal by two GRU assassins.
The OPCW said it was monitoring the Navalny situation and was ready to engage with any state that needed its help.
… joining us from Switzerland, we have a small favour to ask. Millions are flocking to the Guardian for open, independent, quality news every day, and readers in 180 countries around the world now support us financially.

We believe everyone deserves access to information that’s grounded in science and truth, and analysis rooted in authority and integrity. That’s why we made a different choice: to keep our reporting open for all readers, regardless of where they live or what they can afford to pay.

The Guardian has no shareholders or billionaire owner, meaning our journalism is free from bias and vested interests – this makes us different. Our editorial independence and autonomy allows us to provide fearless investigations and analysis of those with political and commercial power. We can give a voice to the oppressed and neglected, and help bring about a brighter, fairer future. Your support protects this.

Supporting us means investing in Guardian journalism for tomorrow and the years ahead. The more readers funding our work, the more questions we can ask, the deeper we can dig, and the greater the impact we can have. We’re determined to provide reporting that helps each of us better understand the world, and take actions that challenge, unite, and inspire change.

Your support means we can keep our journalism open, so millions more have free access to the high-quality, trustworthy news they deserve. So we seek your support not simply to survive, but to grow our journalistic ambitions and sustain our model for open, independent reporting.

If there were ever a time to join us, and help accelerate our growth, it is now. You have the power to support us through these challenging economic times and enable real-world impact.

Every contribution, however big or small, makes a difference.  Support us today from as little as €1 – it only takes a minute. Thank you."
